norm,lambda,eta,date,regime,eq_idx,bd_idx
L2,3.0,8.0,2005-08-31,normal,1.6239882793681262,1.4335488060303865
L2,3.0,8.0,2005-09-30,normal,1.6305638079112876,1.4146128985087
L2,3.0,8.0,2005-10-31,normal,1.5972334531137728,1.399598284972134
L2,3.0,8.0,2005-11-30,normal,1.6484822856903814,1.4014493998537079
L2,3.0,8.0,2005-12-31,normal,1.6416377872401948,1.4102890442287537
L2,3.0,8.0,2006-01-31,normal,1.6776996445125003,1.4054327704163
L2,3.0,8.0,2006-02-28,normal,1.6727554636601218,1.4053196642544996
L2,3.0,8.0,2006-03-31,normal,1.6850753076499787,1.3863296940263317
L2,3.0,8.0,2006-04-30,normal,1.699545049316769,1.3788255822892703
L2,3.0,8.0,2006-05-31,stressed,1.6396921713149801,1.3714255196526313
L2,3.0,8.0,2006-06-30,stressed,1.6332760558486246,1.3688470147033527
L2,3.0,8.0,2006-07-31,normal,1.6350497936452761,1.3818811476673687
L2,3.0,8.0,2006-08-31,normal,1.6629666338219757,1.3972314885255521
L2,3.0,8.0,2006-09-30,normal,1.6970009089497764,1.4037761172827483
L2,3.0,8.0,2006-10-31,normal,1.743512309862272,1.407306455071524
L2,3.0,8.0,2006-11-30,normal,1.7648999753673527,1.4177222102700036
L2,3.0,8.0,2006-12-31,normal,1.7801063535551176,1.403823785954276
L2,3.0,8.0,2007-01-31,normal,1.7973004008241067,1.397070960021367
L2,3.0,8.0,2007-02-28,normal,1.7512068347445715,1.4133049293376636
L2,3.0,8.0,2007-03-31,normal,1.7611536895659206,1.4072708366132978
L2,3.0,8.0,2007-04-30,normal,1.8296467177068287,1.408667264703584
L2,3.0,8.0,2007-05-31,normal,1.8816983371788703,1.3922161212909374
L2,3.0,8.0,2007-06-30,normal,1.8406472062549761,1.3825287464829694
L2,3.0,8.0,2007-07-31,stressed,1.7744170384795097,1.3885308338075815
L2,3.0,8.0,2007-08-31,normal,1.7897905877008962,1.3997175388784961
L2,3.0,8.0,2007-09-30,normal,1.8481270221164192,1.4058571781204623
L2,3.0,8.0,2007-10-31,normal,1.8696059543674564,1.41398708719332
L2,3.0,8.0,2007-11-30,normal,1.780906239074401,1.4346074586783633
L2,3.0,8.0,2007-12-31,normal,1.7607321331981662,1.434763493050637
L2,3.0,8.0,2008-01-31,normal,1.6493411755235174,1.45585185808297
L2,3.0,8.0,2008-02-29,normal,1.589864283392964,1.4559799574196823
L2,3.0,8.0,2008-03-31,normal,1.5776859229821738,1.4584723815832041
L2,3.0,8.0,2008-04-30,normal,1.6498603209008393,1.452799305668604
L2,3.0,8.0,2008-05-31,normal,1.6645011813885136,1.4395309622442258
L2,3.0,8.0,2008-06-30,stressed,1.5185876788256336,1.4359308007004503
L2,3.0,8.0,2008-07-31,stressed,1.5013380413818533,1.4325950769076805
L2,3.0,8.0,2008-08-31,normal,1.517689113990543,1.4443289706283462
L2,3.0,8.0,2008-09-30,stressed,1.3776185502821279,1.4227627869484762
L2,3.0,8.0,2008-10-31,stressed,1.1431134325603527,1.3880413868656714
L2,3.0,8.0,2008-11-30,stressed,1.0572096012168748,1.4328055114857223
L2,3.0,8.0,2008-12-31,stressed,1.0654790947175932,1.4862623015061982
L2,3.0,8.0,2009-01-31,stressed,0.9742133519013683,1.4731485229983072
L2,3.0,8.0,2009-02-28,stressed,0.8670196825783089,1.467440884289193
L2,3.0,8.0,2009-03-31,normal,0.9408940946323936,1.4875468306208859
L2,3.0,8.0,2009-04-30,normal,1.029173483061278,1.4945099024657718
L2,3.0,8.0,2009-05-31,normal,1.0838030407156536,1.5053502716779827
L2,3.0,8.0,2009-06-30,normal,1.0839070858075623,1.5137616870747859
L2,3.0,8.0,2009-07-31,normal,1.1641617342549258,1.5380268106436084
L2,3.0,8.0,2009-08-31,normal,1.2031145858830956,1.5537983539801403
L2,3.0,8.0,2009-09-30,normal,1.2459731367760092,1.5699650935458866
L2,3.0,8.0,2009-10-31,normal,1.2213502156470417,1.5777168223662907
L2,3.0,8.0,2009-11-30,normal,1.2914117494174187,1.5981429852659061
L2,3.0,8.0,2009-12-31,normal,1.3142322864413738,1.57300197374115
L2,3.0,8.0,2010-01-31,normal,1.2656398618824904,1.5970309130935845
